quartier,n_untreated,length_untreated,tonnage_untreated,power_untreated,n_treated,length_treated,tonnage_treated,power_treated,part_volume,part_puissance,part_longueur
BA,83,2334.68,16637.22,43790,3,77.1,517,1256,3,3,3
BL,79,1958.4000000000003,15858.89,48061,1,23,148.83,484,1,1,1
CC,82,4013.390000000001,69295.16,149863,4,119.83,1100.8400000000001,2265,2,1,3
CH,63,1048.9600000000003,4474.51,19207,2,47.68,352.35,1030,7,5,4
CN,42,691.4300000000001,3049.36,12522,2,39.58,212.29000000000002,800,7,6,5
GV,126,2377.9799999999996,10410.639999999996,42486,20,431.1000000000001,2663.72,8114,20,16,15
IO,22,365.06,1400.06,6029,4,76.99000000000001,325.78,1174,19,16,17
LO,84,2462.9700000000007,16888.149999999994,58646,2,79.72,1370,2416,8,4,3
LR,13,339.73999999999995,1984.74,6608,2,40.05,153,824,7,11,11
LS,49,908.4999999999999,3485.2300000000005,16737,1,24.95,226.96,589,6,3,3
MN,6,108.99000000000001,420.15,1395,1,20.4,107,385,20,22,16
MX,24,442.63,1897.51,6304,5,97.38,543.62,1374,22,18,18
PL,4,90.91999999999999,528.65,1787,1,16,58.08,327,10,15,15
SB,34,778.2900000000001,5595.179999999999,17188,3,64.56,398.03,1173,7,6,8
SM,16,484.69000000000005,7911.32,11842,4,94.75999999999999,636.8599999999999,2003,7,14,16
SN,28,545.54,2572.8900000000003,10603,5,109.45,631.83,2063,20,16,17
YE,10,193.55,878.75,3139,1,20.4,121.83,353,12,10,10
