cfr,immat,cpostal,date,name,place,type,length,tonnage,power
FRA000152947,152947,14360,2023-07-12,ARTIMON,Caen,OTM,15.98,42.68,256
FRA000273986,273986,50550,2023-07-24,DE LA BRISE,Cherbourg,GNS,8.53,4.35,63
FRA000294534,294354,64500,2023-04-19,SANS PEINE,Bayonne,LLD,11.6,9,162
FRA000318050,318050,64260,2023-06-06,ILLUNBE,Bayonne,GTR,26.3,175,440
FRA000384579,384579,62200,2023-08-29,MARINA,Boulogne-Sur-Mer,TBB,11.98,17.75,168
FRA000425048,425048,85350,2023-06-27,LE REQUIN BLEU,Île d'Yeu,GNS,20.4,121.83,353
FRA000460530,460530,35400,2023-08-03,SAINT-PATRICK,Saint-Malo,LTL,9.1,6.03,161
FRA000462623,462623,17900,2023-07-28,ESPEMAR,La Cotinière,GNS,20.6,114,442
FRA000463340,463340,14600,2023-07-21,LAISSE LES DIRE,Caen,GNS,8,2.67,78
FRA000488858,488858,14000,2023-06-29,LA BARAKA,Caen,OTB,11.03,14.38,147
FRA000513188,513188,50630,2023-07-20,LE CANOT,Cherbourg,GNS,9,4.74,90
FRA000518388,518388,50100,2023-04-18,SOUVIENS TOI,Cherbourg,OTB,22.85,162.05,552
FRA000518497,518497,50550,2023-07-24,BALBUZARD,Cherbourg,GTR,9.5,8.05,110
FRA000528889,528889,64100,2023-03-23,POURQUOI PAS,Bayonne,FPO,9.56,8.05,131
FRA000544899,544899,17310,2023-07-19,FISHER GOLF,Marennes,OTB,20.4,107,385
FRA000555037,555037,29730,2023-07-27,MEN AR GROAS,Guilvinec,OTT,19.5,80.5,368
FRA000555180,555180,29730,2023-07-27,GWEN-EMMA,Guilvinec,OTT,20.6,110.74,368
FRA000555513,555513,29730,2023-06-01,VICTOR EMMANUEL,Guilvinec,OTB,20.4,105.82,368
FRA000555524,555524,29730,2023-06-01,BARA BRENN,Guilvinec,OTB,23.7,139.39,441
FRA000565125,565125,50550,2023-06-10,LAISSE LES DIRE,Cherbourg,FPO,7.34,3.37,73
FRA000572419,572419,29600,2023-08-22,AN TUAZ COZ,Morlaix,GNS,15.6,25.95,323
FRA000579737,579737,33120,2023-07-11,LAGARDERE 2,La Rochelle,OTB,20.55,92,331
FRA000584842,584842,29730,2023-07-17,KAN AN AEL,Guilvinec,OTB,16.2,64.59,270
FRA000611916,611916,29730,2023-07-07,LE BALBUZARD II,Guilvinec,OTT,20.4,112.19,330
FRA000615518,615518,29600,2023-07-07,OCEANE,Morlaix,FPO,19.6,114.84,243
FRA000623026,623026,62200,2023-08-08,CARLSEN 2,Boulogne-Sur-Mer,GTR,11.95,21.58,164
