Code, Quartier, Localisation
AC,Arcachon,Atlantique
AD,Audierne,Atlantique
AJ,Ajaccio,Méditerranée
AY,Auray,Atlantique
BA,Bayonne,Atlantique
BI,Bastia,Méditerranée
BL,Boulogne-sur-Mer,Manche
BR,Brest,Atlantique
BX,Bordeaux,Atlantique
CC,Concarneau,Atlantique
CH,Cherbourg,Manche
CM,Camaret,Atlantique
CN,Caen,Manche
CY,Cayenne,Outre-Mer
DP,Dieppe,Manche
DK,Dunkerque,Mer du Nord
DZ,Douarnenez,Atlantique
FC,Fécamp,Manche
FF,Fort-de-France,Outre-Mer
GV,Le Guilvinec,Atlantique
IO,Île d'Oléron,Atlantique
LH,Le Havre,Manche
LO,Lorient,Atlantique
LR,La Rochelle,Atlantique
LS,Les Sables-d'Olonne,Atlantique
MA,Marseille,Méditerranée
MN,Marennes,Atlantique
MT,Martigues,Méditerranée
MX,Morlaix,Manche
NA,Nantes,Atlantique
NI,Nice,Méditerranée
NO,Noirmoutier,Atlantique
PL,Paimpol,Manche
PP,Pointe-à-Pitre,Outre-Mer
PV,Port-Vendres,Méditerranée
RO,Rouen,Manche
RU,La Réunion,Outre-Mer
SB,Saint-Brieuc,Manche
SM,Saint-Malo,Manche
SN,Saint-Nazaire,Atlantique
SP,Saint-Pierre-et-Miquelon,Outre-Mer
ST,Sète,Méditerranée
TL,Toulon,Méditerranée
VA,Vannes,Atlantique
YE,Île d'Yeu,Atlantique
